X,Y,OBJECTID,FIRE_ID,ASMNT_TYPE,PRE_ID,POST_ID,NODATA_THRESHOLD,LOW_THRESHOLD,MODERATE_THRESHOLD,HIGH_THRESHOLD,LATITUDE,LONGITUDE,FIRE_TYPE,FIRE_NAME,GREENNESS_THRESHOLD,IG_DATE,ACRES
-93.1180064760867,31.0010055312577,5530,LA3100109311820090120,Initial,50240392008049,50240392009000,-970,50,178,350,31.001,-93.118,Wildfire,GOVERNMENT POND,-150,2009/01/20 00:00:00+00,1562
-121.419013422069,40.5550052453364,5531,CA4055512141920061031,Extended,50440322006199,50440322007200,-970,80,200,9999,40.555,-121.419,Prescribed Fire,GR2 RX,-150,2006/10/31 00:00:00+00,1474
-106.024010484751,40.8750064970993,5532,CO4087510602419880906,Extended,50340321987205,40340321989200,-970,280,371,550,40.875,-106.024,Wildfire,GRACE CREEK,-150,1988/09/06 00:00:00+00,1455
-117.042011914397,33.181004822154,5533,CA3318111704219871004,Extended,50400371987183,50400371988200,-970,0,278,570,33.181,-117.042,Wildfire,GRADE,-150,1987/10/04 00:00:00+00,2210
-116.439011812286,33.2220048588358,5534,CA3322211643919930616,Initial,50400371992165,50400371993200,-970,55,185,360,33.222,-116.439,Wildfire,GRADE,-150,1993/06/16 00:00:00+00,1640
-100.220009225239,41.9710070676086,5535,NE4198910022620110506,Initial (SS),NULL,70310312011100,-9999,-40,-9999,-9999,41.971,-100.22,Wildfire,GRADUATION,-9999,2011/05/06 00:00:00+00,1124
-103.377009124644,32.8890054616331,5536,NM3288910337719890707,Initial (SS),NULL,50310371989200,-9999,-120,-240,-9999,32.889,-103.377,Wildfire,GRAHAM,-9999,1989/07/07 00:00:00+00,2221
-95.7840089835217,48.2160082434749,5537,MN4821609578420080420,Initial,50290262006318,70290262008100,-970,50,9999,9999,48.216,-95.784,Wildfire,GRAIN BIN,-150,2008/04/20 00:00:00+00,1081
-104.741009520218,34.0990055938647,5538,NM3410910475620110627,Initial,50320362011177,50320362011200,-970,10,200,9999,34.099,-104.741,Wildfire,GRAMMA VALLEY,-150,2011/06/27 00:00:00+00,1014
-111.552010943166,33.808005193814,5539,AZ3380811155220060721,Initial,50360372005268,50360372006200,-970,115,237,415,33.808,-111.552,Wildfire,GRAN,-150,2006/07/21 00:00:00+00,4855
-118.980012340649,34.4260048542178,5540,CA3442611898019960428,Extended,50410361996119,50410361997100,-970,60,263,500,34.426,-118.98,Wildfire,GRAND,-150,1996/04/28 00:00:00+00,10479
-118.911012360632,34.78900489674,5541,CA3481811891020130515,Initial,80410362013117,80410362013100,-970,100,305,550,34.789,-118.911,Wildfire,GRAND,-150,2013/05/15 00:00:00+00,4526
-88.4000051743627,30.4130055689945,5542,MS3038808844020160211,Initial,80210392016018,80210392016100,-970,50,9999,9999,30.413,-88.4,Wildfire,GRAND BATURE,-150,2016/02/11 00:00:00+00,3898
-84.5990041040828,30.3560056771701,5543,FL3035908459920120212,Initial (SS),NULL,70180392012100,0,500,-9999,-9999,30.356,-84.599,Wildfire,GRAND BAY,0,2012/02/12 00:00:00+00,859
